,Team,Owner,HR,R,RBI,SB,OBP,OPS,SO,SV,HD,ERA,WHP,QS,Pts,Rank,league_id,league_name,team_id,HR_Points,R_Points,RBI_Points,SB_Points,OBP_Points,OPS_Points,SO_Points,SV_Points,HD_Points,ERA_Points,WHP_Points,QS_Points,Total_Points,Overall_Rank
66,Chatt Mapman Superstars,theDICTATORguy,228,730,676,48,0.338,0.789,1069,69,64,4.08,1.23,55,,6,21595,D4 - Frank Robinson,124747,58.0,57.5,49.5,11.5,18.5,9.0,42.0,55.0,71.0,39.0,50.0,23.5,1727.0,48.0
67,Password is Taco,Mr_Whitman,211,683,667,39,0.346,0.84,971,37,42,4.04,1.24,70,,8,21595,D4 - Frank Robinson,125450,41.0,38.0,43.5,4.0,43.5,52.0,27.0,18.5,53.0,44.0,41.5,50.0,1653.0,50.0
68,Scrapple10,Scrapple10,207,647,649,116,0.347,0.85,851,59,0,4.32,1.3,61,,9,21595,D4 - Frank Robinson,125463,35.0,27.0,36.0,84.0,48.5,65.0,12.0,43.0,2.0,15.5,17.0,31.5,1596.5,53.0
69,Daddy's Little Girls,Pete_Grassi,195,684,642,43,0.35,0.844,986,14,3,4.3,1.29,90,,10,21595,D4 - Frank Robinson,125420,28.0,39.5,34.0,6.5,59.0,60.0,30.0,6.0,5.0,18.0,20.5,76.0,1457.5,59.0
70,Mad Max's Madness,Verarde,170,585,582,49,0.348,0.834,1015,53,37,4.28,1.27,53,,11,21595,D4 - Frank Robinson,124684,10.0,11.0,19.0,14.0,52.0,46.0,35.0,33.0,46.0,20.0,31.5,19.5,1319.0,69.0
71,Chris Davis Support Group,sooners285,190,642,637,51,0.348,0.814,1104,50,55,4.38,1.31,51,,12,21595,D4 - Frank Robinson,124815,25.0,25.0,32.0,18.5,52.0,25.0,46.0,28.0,67.0,12.0,12.5,16.5,1334.0,65.5
72,Expos,MikeO13,259,774,728,93,0.346,0.848,1188,70,34,4.05,1.22,83,,1,21596,D4 - Mark Mulder,124729,79.0,75.0,71.0,74.0,43.5,62.5,60.0,59.0,39.0,42.5,58.0,71.0,2525.0,14.0
73,Fargo Frostbite,HuskerVol716,219,746,699,86,0.352,0.834,1334,52,49,4.32,1.33,92,,2,21596,D4 - Mark Mulder,124661,50.0,64.5,59.5,68.0,63.0,46.0,79.0,31.0,62.5,15.5,8.0,78.0,2218.5,21.0
74,Dahl Me Maybe,theillusionist,233,801,720,66,0.346,0.851,1023,52,43,4.07,1.24,73,,3,21596,D4 - Mark Mulder,125419,61.0,81.0,65.5,40.5,43.5,66.0,38.0,31.0,55.5,40.0,41.5,56.0,2163.5,23.0
75,Terlets and Boilers,HRsOnly,217,641,671,102,0.354,0.852,1004,50,42,3.75,1.2,54,,4,21596,D4 - Mark Mulder,125371,48.0,23.5,46.0,80.5,70.0,67.0,33.0,28.0,53.0,66.0,64.5,21.5,2140.5,25.0
76,Miggy Mouse Club,Squinto,253,704,694,34,0.353,0.87,1126,59,49,4.47,1.28,64,,5,21596,D4 - Mark Mulder,124683,77.0,50.0,55.0,3.0,66.5,75.0,49.0,43.0,62.5,6.0,26.0,37.5,1918.5,37.0
77,MadBum Men,fert360,201,688,635,58,0.347,0.823,1205,57,11,3.33,1.17,96,,6,21596,D4 - Mark Mulder,124680,30.0,41.0,30.0,27.5,48.5,32.0,63.0,37.5,15.5,84.0,76.0,82.0,2040.0,27.0
78,Mozambiques,Porkchop120,214,691,646,80,0.352,0.839,953,37,13,3.63,1.2,78,,7,21596,D4 - Mark Mulder,124686,44.5,44.5,35.0,65.0,63.0,51.0,22.0,18.5,17.5,75.0,64.5,65.0,2011.5,31.0
79,Manatee Stingers,jimgriddy,210,690,720,68,0.337,0.809,1242,88,8,4.23,1.28,70,,8,21596,D4 - Mark Mulder,125353,39.5,42.5,65.5,48.0,16.5,22.0,69.0,78.0,12.5,24.5,26.0,50.0,1772.0,46.0
80,Greinke's Haunted Mansion,mcombs,177,588,574,50,0.348,0.805,983,79,50,4.05,1.19,40,,9,21596,D4 - Mark Mulder,124777,14.0,14.0,16.0,16.0,52.0,19.0,29.0,71.5,64.0,42.5,70.0,3.0,1532.0,54.0
81,Fleer Ultra,MeesterHat,187,641,527,67,0.357,0.854,929,70,32,4.41,1.28,46,,10,21596,D4 - Mark Mulder,124826,23.0,23.5,6.0,44.0,75.0,69.0,18.0,59.0,36.5,9.5,26.0,6.5,1505.5,57.0
82,Himalaya Playas,zigzagmaru,206,739,724,79,0.333,0.793,1078,44,23,4.41,1.36,71,,10,21596,D4 - Mark Mulder,124675,34.0,61.0,68.0,63.0,10.5,12.0,43.0,23.5,27.0,9.5,3.0,52.5,1462.5,58.0
83,Chad Hippos,Sir-tomba,173,615,579,50,0.333,0.79,1001,0,39,4.27,1.24,80,,12,21596,D4 - Mark Mulder,124677,12.0,21.0,18.0,16.0,10.5,10.0,32.0,1.0,49.0,21.0,41.5,69.0,1140.0,77.0
